來源/媒介,廣告活動,網頁標題,網頁路徑,所有使用者,工作階段,瀏覽,平均觀看次數,平均使用者參與
fg / button,SEO,遠雄房地產預約賞屋：線上看房結合實體導覽，開啟智慧購屋新體驗,/make_appointment/,10,10,10,1,1.0
fg / button,hm2,遠雄MetaLink科技園區 | 3700坪超旗艦 森態企業總部,/buildings/hm2/,8,8,8,1,4.25
fg / button,fm3,遠雄信義CENTER-新北市板橋區廠辦.商辦/預售新建案-預約賞屋,/buildings/fm3/,6,6,6,1,6.33333333333333
fg / button,reservation,遠雄房地產預約賞屋：線上看房結合實體導覽，開啟智慧購屋新體驗,/make_appointment/,5,5,5,1,3.8
fg / button,fm3,遠房實價登錄,/,4,4,4,1,0.0
fg / button,SEO,熱銷建案一覽：遠雄全台預售屋、新建案與新成屋，尋獲理想家園,/case/search/,4,4,4,1,1.25
fg / button,SEO,熱銷建案一覽：遠雄全台預售屋、新建案與新成屋，尋獲理想家園,/case/search/page/5/,4,4,4,1,4.5
fg / button,SEO,遠雄MetaLink科技園區 | 機捷A7．A8站▕ VIP企業席次開放預約中,/buildings/hm2/,2,2,2,1,5.5
fg / post,SEO,成屋延後交屋怎麼辦？地政士教你預告登記防風險,/life-proposal/expert_zhu_video_delay/,2,2,2,1,27.0
fg / button,AIO,2026 中南高區域分析與優質建商避雷祕訣,/,1,1,1,1,15.0
fg / button,AIO,買房常見問答FAQ｜預約賞屋流程、全台熱門重劃區解析、購屋地政稅務實務,/,1,1,1,1,11.0
fg / button,SEO,遠房實價登錄,/,1,1,1,1,0.0
fg / button,AIO,關於我們｜從建築到永續服務，全方位成就圓夢生活,/about/,1,1,0,0,5.0
fg / button,SEO,遠雄蘴靚｜高雄楠梓新門戶｜捷運R21站旁｜3795坪豪闊基地,/buildings/eh6/,1,1,1,1,0.0
fg / button,SEO,遠雄合雅｜板橋之心・合院之上｜2~4房．24~66坪,/buildings/fh2/,1,1,1,1,16.0
fg / button,hm2,遠雄MetaLink科技園區 | 機捷A7．A8站▕ VIP企業席次開放預約中,/buildings/hm2/,1,1,1,1,0.0
fg / button,SEO,熱銷建案一覽：遠雄全台預售屋、新建案與新成屋，尋獲理想家園,/case/search/page/3/,1,1,1,1,5.0
fg / button,AIO,聯絡我們｜提供專業諮詢服務，全心成就成家夢想，歡迎與我們聯繫,/contact_service/contact_us/,1,1,0,0,0.0
fg / button,AIO,台中預售屋怎麼挑？各區房價、TOP36建案分析，買屋前必看！,/life-proposal/area_presold-house-in-taichung/,1,1,1,1,0.0
fg / button,AIO,台南預售屋全攻略：最新行情、熱門區域房價與建案挑選祕訣,/life-proposal/area_presold-house-in-tainan/,1,1,2,2,8.0
fg / button,AIO,新青安貸款全攻略：申請資格、利率比較與流程，買房族必看！ - 遠雄房地產,/life-proposal/seo_youth-home-loan/,1,1,0,0,2.0
